SampleID,Location,Site,Status,Position,Replicate,SoilType,USS.depth.cm,d15N,d13C_not_acidified,wt %TN,wt %TC,"acidified d13C (permil, vs VPDB)",acidified wt %N,acidified wt %C
Sample 1,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.104925855,-17.16921416,0.36,4.32,NA,NA,NA
Sample 2,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.467865637,-19.71737753,0.76,9.1,NA,NA,NA
Sample 3,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.439104829,-19.21975297,0.38,4.48,NA,NA,NA
Sample 4,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.722285882,-19.55252031,0.72,8.47,NA,NA,NA
Sample 5,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.026176732,-19.98908664,NA,NA,NA,NA,NA
Sample 6,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.780842923,-19.86086436,0.55,6.08,NA,NA,NA
Sample 7,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.448683158,-19.88325238,NA,NA,NA,NA,NA
Sample 8,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.684930529,-20.03589795,NA,NA,NA,NA,NA
Sample 9,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,1.669268754,-19.94634588,NA,NA,NA,NA,NA
Sample 10,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.981754149,-20.17531423,0.21,2.53,NA,NA,NA
BR-G-CH-1-O,BR,BR,Grazed,5,1,No Horizon,0,2.74,-16.5,0.49,8.54,-16.8,0.46,8.63
BR-G-CH-2-O,BR,BR,Grazed,5,2,No Horizon,0,3.114038809,-16.95268274,0.49,8.17,-17.05283106,0.48,8.16
BR-G-CH-3-O,BR,BR,Grazed,5,3,No Horizon,0,2.94,-16.65,0.5,9.18,-16.68780756,0.58,9.64
BR-G-HF-1-O,BR,BR,Grazed,3,1,No Horizon,0,3.62,-18.12,0.39,5.06,-18.43,0.36,4.61
BR-G-HF-2-O,BR,BR,Grazed,3,2,No Horizon,0,3.78,-17.43,0.46,6.58,-17.95,0.41,6.14
BR-G-HF-3-O,BR,BR,Grazed,3,3,No Horizon,0,3.46,-17.92,0.28,4.17,-17.74989084,0.27,4.29
BR-G-HP-1-M,BR,BR,Grazed,7,1,Upper Horizon,1.9,3.94,-19.75,0.4,5.13,-18.93,0.39,4.93
BR-G-HP-1-P,BR,BR,Grazed,7,1,Lower Horizon,NA,2.38,-17.11,0.45,7.8,-17.16,0.45,8.53
BR-G-HP-2-M,BR,BR,Grazed,7,2,Upper Horizon,2,4.22,-19.02,0.41,5,-19.03,0.39,4.89
BR-G-HP-2-P,BR,BR,Grazed,7,2,Lower Horizon,NA,3.17,-17.67,0.44,6.85,-17.88,0.4,6.59
BR-G-HP-3-M,BR,BR,Grazed,7,3,Upper Horizon,1.9,4.15,-18.85,0.41,4.9,-19.27,0.4,4.85
BR-G-HP-3-P,BR,BR,Grazed,7,3,Lower Horizon,NA,3.25,-17.82,0.42,6.77,-18.22,0.39,6.03
BR-G-LP-1-M,BR,BR,Grazed,6,1,Upper Horizon,2.5,4.35,-19.38,0.41,4.76,-19.4011452,0.4,4.8
BR-G-LP-1-P,BR,BR,Grazed,6,1,Lower Horizon,NA,3.02,-17.18,0.4,7.59,-17.24,0.45,7.65
BR-G-LP-2-M,BR,BR,Grazed,6,2,Upper Horizon,1.7,4.66,-19.24,0.39,4.51,-19.25264906,0.39,4.37
BR-G-LP-2-P,BR,BR,Grazed,6,2,Lower Horizon,NA,3.734865157,-18.09690702,0.42,5.92,-17.91859951,0.41,6.37
BR-G-LP-3-M,BR,BR,Grazed,6,3,Upper Horizon,0.5,4.45,-18.75,0.42,5.26,-19.09910203,0.44,5.42
BR-G-LP-3-P,BR,BR,Grazed,6,3,Lower Horizon,NA,3.32,NA,0.44,7.59,-17.17304862,0.41,7.38
BR-G-MC-1-O,BR,BR,Grazed,1,1,No Horizon,0,4.51,-19.39,0.42,4.49,-19.3051783,0.42,4.57
BR-G-MC-2-O,BR,BR,Grazed,1,2,No Horizon,0,4.62,-19.19,0.46,5.13,-19.04051172,0.48,5.42
BR-G-MC-3-O,BR,BR,Grazed,1,3,No Horizon,0,4.81,-19.36,0.45,4.7,-19.74,0.44,4.4
BR-G-MF-1-O,BR,BR,Grazed,2,1,No Horizon,0,4.1,-18.81,0.35,4.34,-18.64,0.36,4.23
BR-G-MF-2-O,BR,BR,Grazed,2,2,No Horizon,0,4.26,-19.48,0.41,4.33,-19.59206881,0.4,4.19
BR-G-MF-3-O,BR,BR,Grazed,2,3,No Horizon,0,4.33,-19.1,0.33,3.76,-19.14,0.35,3.76
BR-G-MUD-1-P,BR,BR,Grazed,4,1,Lower Horizon,NA,3.41,-16.78,0.47,7.97,-16.66,0.5,8.56
BR-G-MUD-2-P,BR,BR,Grazed,4,2,Lower Horizon,NA,2.89,-16.59,0.52,9.36,-16.67,0.5,9.19
BR-G-MUD-3-P,BR,BR,Grazed,4,3,Lower Horizon,NA,3.1,-17.84,0.32,4.91,-17.81,0.35,5.62
BR-H-CH-1-O,BR,BR,Un-grazed,5,1,No Horizon,0,3.59,-16.99,0.4,6.74,-17.32,0.38,6.09
BR-H-CH-2-O,BR,BR,Un-grazed,5,2,No Horizon,0,4.363765148,-18.29,0.42,5.99,-18.27046701,0.42,5.73
BR-H-CH-3-O,BR,BR,Un-grazed,5,3,No Horizon,0,4.741152507,-19.1390186,0.41,4.88,-19.12,0.41,4.7
BR-H-HF-2-O,BR,BR,Un-grazed,3,2,No Horizon,0,4.78752514,-19.44594378,0.44,4.75,-19.62,0.43,4.78
BR-H-HF-3-O,BR,BR,Un-grazed,3,3,No Horizon,0,4.581941561,-18.77434093,0.47,5.32,-19.18,0.46,4.82
BR-H-HP-1-M,BR,BR,Un-grazed,7,1,Upper Horizon,1.2,3.585327645,-19.16,0.24,2.87,-18.64,0.21,2.42
BR-H-HP-1-P,BR,BR,Un-grazed,7,1,Lower Horizon,NA,2.13514939,-18.73577894,0.12,2.07,-18.63070485,0.09,1.89
BR-H-HP-2-M,BR,BR,Un-grazed,7,2,Upper Horizon,1.7,2.671421796,-18.39,0.13,2.09,-18.63,0.15,2.29
BR-H-HP-2-P,BR,BR,Un-grazed,7,2,Lower Horizon,NA,3.402344283,-25.19,0.24,2.99,-19.44,0.25,2.7
BR-H-HP-3-M,BR,BR,Un-grazed,7,3,Upper Horizon,3.4,3.956126911,-19.41331493,0.31,3.82,-19.61,0.32,3.96
BR-H-HP-3-P,BR,BR,Un-grazed,7,3,Lower Horizon,NA,2.571900259,-18.41932501,0.13,2.33,-18.57,0.08,1.71
BR-H-LP-1-M,BR,BR,Un-grazed,6,1,Upper Horizon,2.5,1.747581086,-17.41619597,0.2,3.63,-17.54,0.21,3.51
BR-H-LP-1-P,BR,BR,Un-grazed,6,1,Lower Horizon,NA,4.1,-19.33,0.36,4.21,-19.57424893,0.36,4.11
BR-H-LP-2-M,BR,BR,Un-grazed,6,2,Upper Horizon,2.6,2.89,-18.91,0.26,3.34,-18.9640183,0.26,3.32
BR-H-LP-2-P,BR,BR,Un-grazed,6,2,Lower Horizon,NA,2.45,-17.63,0.23,3.84,-17.76796628,0.22,3.67
BR-H-LP-3-M,BR,BR,Un-grazed,6,3,Upper Horizon,1.8,4.03,-19.35,0.32,3.65,-19.33829309,0.32,3.68
BR-H-LP-3-P,BR,BR,Un-grazed,6,3,Lower Horizon,NA,4.346263998,-19.40012935,0.39,4.23,-19.74,0.37,4.33
BR-H-MC-1-O,BR,BR,Un-grazed,1,1,No Horizon,0,4.64,-19.73,0.41,4.27,-19.82037528,0.42,4.41
BR-H-MC-2-O,BR,BR,Un-grazed,1,2,No Horizon,0,5.13,-19.44,0.46,4.66,-19.74115539,0.42,4.49
BR-H-MC-3-O,BR,BR,Un-grazed,1,3,No Horizon,0,4.73,-18.5,0.47,5.69,-18.28324457,0.44,5.58
BR-H-MF-1-O,BR,BR,Un-grazed,2,1,No Horizon,0,4.93,-19.16,0.48,4.92,-19.07,0.45,4.87
BR-H-MF-2-M,BR,BR,Un-grazed,2,2,Upper Horizon,6,4.59,-18.75,0.49,5.39,-18.8165459,0.47,5.15
BR-H-MF-2-P,BR,BR,Un-grazed,2,2,Lower Horizon,NA,4.47,-18.27,0.43,5.96,-18.30293513,0.42,5.89
