"","Position","Status","depthmean","depthsd","depthmin","depthmax"
"1","1","Grazed",0,0,0,0
"2","1","Un-grazed",0,0,0,0
"3","2","Grazed",0,0,0,0
"4","2","Un-grazed",1.24166666666667,2.32201258055214,0,6
"5","3","Grazed",0,0,0,0
"6","3","Un-grazed",0.530769230769231,1.1309174854844,0,3.5
"7","4","Grazed",0,0,0,0
"8","4","Un-grazed",1.69166666666667,0.80165548407749,0,2.5
"9","5","Grazed",0,0,0,0
"10","5","Un-grazed",1.03333333333333,1.04126962130009,0,2.7
"11","6","Grazed",1.00833333333333,0.61119604552108,0.5,2.5
"12","6","Un-grazed",1.69166666666667,0.87121475625425,0.4,2.9
"13","7","Grazed",1.7375,0.967923034130297,0.5,3.5
"14","7","Un-grazed",1.60833333333333,0.957704009439748,0.5,3.4
