,SoilType,Position,Other,CN,TC,TOC,TN,d13C,d15N,n
1,Benthic diatoms,Benthic diatoms,NA,11.77 (0.37),5.83 (2.56),NaN (NA),0.5 (0.22),-19.55 (0.88),2.73 (0.48),10
2,Gut,Fore-gut,Large gravid,8.4 (0.57),35.7 (0.01),34.22 (0.25),4.08 (0.25),-15.22 (0.08),6.13 (0.04),2
3,Gut,Fore-gut,Large male,7.06 (0.45),36.26 (0.22),36.62 (0.06),5.2 (0.33),-15.31 (0.1),6.72 (0.08),2
4,Gut,Fore-gut,Medium female,7.13 (0.32),37.64 (0.01),37.38 (0.04),5.25 (0.23),-15.19 (0.03),6.04 (0.06),2
5,Gut,Fore-gut,Medium gravid,7.03 (0.41),38.33 (0.05),36.67 (0.47),5.22 (0.24),-15.23 (0.08),6.33 (0.08),2
6,Gut,Fore-gut,Medium male,8.16 (1),37.58 (0.78),35.42 (0.23),4.37 (0.51),-15.41 (0.18),6.16 (0.01),2
7,Gut,Fore-gut,Small female,6.88 (NA),35.36 (1.74),34.82 (NA),5.58 (0.74),-15.99 (NA),5.95 (0.06),2
8,Gut,Fore-gut,Small gravid,6.23 (NA),37.5 (0.17),35.89 (NA),5.85 (0.13),-15.47 (NA),6.13 (0.08),2
9,Gut,Fore-gut,Small male,5.42 (NA),37.61 (0.29),34.4 (NA),5.96 (0.56),-15.63 (NA),5.84 (0.01),2
10,Gut,Hind-gut,Large gravid,21.8 (0.86),21.2 (0.67),16.57 (0.65),0.76 (0),-15.22 (0.08),5.29 (0.08),2
11,Gut,Hind-gut,Large male,27.12 (0.62),21.05 (0.16),21.42 (0.49),0.79 (0),-14.8 (0.08),5.46 (0.08),2
12,Gut,Hind-gut,Medium female,20.52 (1.11),20.09 (0.97),21.83 (0.45),1.06 (0.04),-14.93 (0.12),5.76 (0.01),2
13,Gut,Hind-gut,Medium gravid,18.27 (1.66),18.64 (0.22),19.32 (0.72),1.06 (0.06),-15.13 (0.06),5.36 (0.18),2
14,Gut,Hind-gut,Medium male,22.12 (0.65),22.88 (0.07),21.9 (0.64),0.99 (0),-15 (0.01),5.34 (0.3),2
15,Gut,Hind-gut,Small female,20.58 (NA),20.1 (NA),18.93 (NA),0.92 (NA),-15.05 (NA),5.16 (NA),1
16,Gut,Hind-gut,Small gravid,15.77 (NA),17.88 (NA),17.66 (NA),1.12 (NA),-15.36 (NA),5.22 (NA),1
17,Gut,Hind-gut,Small male,17.15 (NA),17.37 (NA),16.46 (NA),0.96 (NA),-15.46 (NA),5.35 (NA),1
18,Soft tissue,Soft tissue,NA,NaN (NA),38.33 (2.1),NaN (NA),11.03 (0.82),-14.32 (0.43),6.69 (0.76),10
19,Spartina,Spartina,NA,23.27 (2.23),42.21 (0.88),39.02 (1.79),1.61 (0.04),-13.79 (0.43),3.81 (0.11),14
20,Whole crab,Whole crab,non-acid rinsed,7.35 (NA),36.44 (NA),49.14 (NA),6.69 (NA),-26.35 (NA),-4.69 (NA),1
